YEAR,SCH_OP_CARRIER_AIRLINE_ID,SCH_OP_CARRIER_FL_NUM,OP_UNIQUE_CARRIER,ORIGIN,DEST,DEP_DELAY,ARR_DELAY,CANCELLED,AIR_TIME,DISTANCE,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
2026,,,WN,LAS,ORD,3.0,-31.0,0.0,165.0,1514.0,,,,,
2026,,,F9,LAS,ONT,11.0,2.0,0.0,39.0,197.0,,,,,
2026,,,OO,DFW,SHV,199.0,193.0,0.0,32.0,190.0,0.0,0.0,0.0,0.0,193.0
2026,,,MQ,IAH,DFW,124.0,118.0,0.0,46.0,224.0,0.0,0.0,0.0,0.0,118.0
2026,,,UA,SNA,DEN,105.0,91.0,0.0,109.0,846.0,0.0,0.0,0.0,0.0,91.0
2026,,,WN,PHX,HOU,18.0,4.0,0.0,114.0,1020.0,,,,,
2026,,,AA,PHX,DEN,2.0,7.0,0.0,90.0,602.0,,,,,
2026,,,WN,MDW,AUS,6.0,-18.0,0.0,135.0,972.0,,,,,
2026,,,WN,MCI,MDW,6.0,1.0,0.0,60.0,404.0,,,,,
2026,,,AA,DFW,ONT,12.0,16.0,0.0,171.0,1188.0,6.0,0.0,4.0,0.0,6.0
2026,,,G7,SYR,EWR,25.0,-1.0,0.0,40.0,194.0,,,,,
2026,,,AA,SJC,DFW,21.0,18.0,0.0,179.0,1438.0,18.0,0.0,0.0,0.0,0.0
2026,,,WN,MSY,HOU,4.0,-5.0,0.0,54.0,303.0,,,,,
2026,,,DL,DCA,MSP,8.0,-11.0,0.0,130.0,931.0,,,,,
2026,,,AA,DFW,SAT,24.0,23.0,0.0,47.0,247.0,14.0,0.0,0.0,0.0,9.0
2026,,,AA,PHX,DFW,11.0,24.0,0.0,101.0,868.0,11.0,0.0,13.0,0.0,0.0
2026,,,G4,SFB,GSP,22.0,8.0,0.0,58.0,426.0,,,,,
2026,,,AA,CLE,DFW,53.0,59.0,0.0,164.0,1021.0,50.0,0.0,6.0,0.0,3.0
2026,,,OO,DRO,DEN,115.0,102.0,0.0,49.0,251.0,0.0,0.0,0.0,0.0,102.0
2026,,,AA,PHL,SJU,25.0,12.0,0.0,210.0,1576.0,,,,,
2026,,,UA,IAH,EWR,18.0,-9.0,0.0,161.0,1400.0,,,,,
2026,,,OH,MLI,DFW,16.0,2.0,0.0,99.0,691.0,,,,,
2026,,,F9,MCO,PHL,10.0,3.0,0.0,118.0,862.0,,,,,
2026,,,F9,IAH,MCO,7.0,-21.0,0.0,102.0,854.0,,,,,
2026,,,UA,FLL,EWR,21.0,29.0,0.0,161.0,1065.0,11.0,0.0,8.0,0.0,10.0
2026,,,AS,SEA,BOS,2.0,-4.0,0.0,295.0,2496.0,,,,,
2026,,,F9,ATL,FLL,95.0,72.0,0.0,74.0,581.0,22.0,0.0,0.0,0.0,50.0
2026,,,QX,BUR,BOI,69.0,95.0,0.0,115.0,656.0,3.0,0.0,26.0,0.0,66.0
2026,,,WN,MDW,ELP,2.0,-7.0,0.0,170.0,1237.0,,,,,
2026,,,AA,LAX,CLT,102.0,101.0,0.0,251.0,2125.0,101.0,0.0,0.0,0.0,0.0
2026,,,AA,MIA,DCA,1.0,0.0,0.0,129.0,919.0,,,,,
2026,,,OO,DEN,SGF,2.0,-11.0,0.0,83.0,637.0,,,,,
2026,,,G4,FNT,PGD,47.0,66.0,0.0,162.0,1111.0,0.0,47.0,19.0,0.0,0.0
2026,,,AA,ORD,FLL,160.0,202.0,0.0,148.0,1182.0,0.0,44.0,42.0,0.0,116.0
2026,,,MQ,DCA,RDU,111.0,107.0,0.0,46.0,227.0,0.0,0.0,0.0,0.0,107.0
2026,,,UA,EWR,PDX,20.0,-5.0,0.0,316.0,2434.0,,,,,
2026,,,YV,IAH,ELP,11.0,-2.0,0.0,105.0,667.0,,,,,
2026,,,UA,ORD,EWR,113.0,146.0,0.0,97.0,719.0,0.0,96.0,33.0,0.0,17.0
2026,,,WN,SEA,OAK,17.0,8.0,0.0,99.0,672.0,,,,,
2026,,,YX,ORD,AUS,12.0,26.0,0.0,145.0,977.0,0.0,12.0,14.0,0.0,0.0
2026,,,B6,LGA,TPA,208.0,210.0,0.0,159.0,1010.0,83.0,0.0,2.0,0.0,125.0
2026,,,9E,JFK,MCI,24.0,-4.0,0.0,150.0,1113.0,,,,,
2026,,,OO,IAH,ASE,124.0,121.0,0.0,178.0,913.0,0.0,0.0,121.0,0.0,0.0
2026,,,G4,DSM,PIE,8.0,14.0,0.0,129.0,1126.0,,,,,
2026,,,9E,JFK,DTW,12.0,-5.0,0.0,88.0,509.0,,,,,
2026,,,DL,ATL,SRQ,114.0,116.0,0.0,74.0,444.0,114.0,0.0,2.0,0.0,0.0
2026,,,AA,LAX,BOS,7.0,-5.0,0.0,275.0,2611.0,,,,,
2026,,,WN,SAT,SAN,117.0,114.0,0.0,157.0,1129.0,97.0,0.0,0.0,0.0,17.0
2026,,,MQ,ORD,DCA,10.0,27.0,0.0,83.0,612.0,10.0,0.0,17.0,0.0,0.0
2026,,,WN,MEM,MCO,2.0,15.0,0.0,90.0,684.0,0.0,0.0,15.0,0.0,0.0
2026,,,AA,CLT,CHS,60.0,56.0,0.0,40.0,168.0,56.0,0.0,0.0,0.0,0.0
2026,,,WN,STL,MDW,22.0,61.0,0.0,44.0,251.0,22.0,0.0,39.0,0.0,0.0
2026,,,DL,ATL,SLC,30.0,19.0,0.0,228.0,1590.0,0.0,10.0,0.0,0.0,9.0
2026,,,B6,MCO,LAS,9.0,-2.0,0.0,294.0,2039.0,,,,,
2026,,,UA,RNO,DEN,13.0,13.0,0.0,106.0,804.0,,,,,
2026,,,B6,DCA,JFK,1.0,22.0,0.0,40.0,213.0,1.0,0.0,21.0,0.0,0.0
2026,,,UA,IAH,SFO,6.0,-3.0,0.0,226.0,1635.0,,,,,
2026,,,AS,SEA,JFK,1.0,3.0,0.0,276.0,2422.0,,,,,
2026,,,OO,ORD,ROC,14.0,57.0,0.0,97.0,528.0,0.0,0.0,43.0,0.0,14.0
2026,,,WN,MCO,CLE,33.0,51.0,0.0,134.0,895.0,33.0,0.0,18.0,0.0,0.0
2026,,,UA,DEN,SJU,14.0,9.0,0.0,294.0,2733.0,,,,,
